image_path,image_name,true_class,edge_magnitude_mean,edge_magnitude_std,edge_magnitude_max,edge_density,laplacian_variance,laplacian_mean,sharpness_scale_1,sharpness_scale_2,sharpness_scale_3,sharpness_scale_4,sharpness_gradient_ratio,top_focus_variance,top_tenengrad,top_high_freq_energy,middle_focus_variance,middle_tenengrad,middle_high_freq_energy,bottom_focus_variance,bottom_tenengrad,bottom_high_freq_energy,left_focus_variance,left_tenengrad,left_high_freq_energy,center_focus_variance,center_tenengrad,center_high_freq_energy,right_focus_variance,right_tenengrad,right_high_freq_energy,focus_variation,focus_range,focus_center_bias,contrast_mean_scale_1,contrast_std_scale_1,contrast_max_scale_1,contrast_mean_scale_2,contrast_std_scale_2,contrast_max_scale_2,contrast_mean_scale_3,contrast_std_scale_3,contrast_max_scale_3,contrast_mean_scale_4,contrast_std_scale_4,contrast_max_scale_4,contrast_decay_slope,contrast_decay_variation,luminance_contrast,luminance_range,freq_energy_low,freq_energy_mid_low,freq_energy_mid_high,freq_energy_high,frequency_centroid,high_freq_ratio,regional_depth_mean,regional_depth_std,regional_depth_max,regional_depth_min,regional_depth_range,depth_vertical_gradient,depth_horizontal_gradient,center_depth,periphery_depth,center_periphery_ratio,discontinuity_count,discontinuity_total_area,discontinuity_mean_area,discontinuity_max_area,discontinuity_mean_perimeter,discontinuity_density,discontinuity_shape_complexity,line_count,line_angle_std,line_angle_range,horizontal_line_ratio,vertical_line_ratio,diagonal_line_ratio,perspective_strength,texture_gradient,texture_variation
depth_dataset/open_area/image_0185.jpg,open_area_depth_0185.jpg,open_area,95.61012685546301,99.55650493967148,709.4203089928075,0.10000146849673237,3957.5291578168767,35.32802230169694,184.03684685750636,39.97749267905678,16.943184714291718,8.804247502620271,19.8959880266162,544.2218786846149,401020672.0810032,132196171.15777905,2557.8019711921024,1137863230.0845094,251706280.41352868,7599.065000571648,2748548790.903181,309652542.5482301,4464.967077265915,1670223673.3278763,271722355.9120352,3361.017229860526,1179036311.4026597,230412999.8818086,3443.5981624326364,1609911060.5944026,220136894.39197326,2118.2763972872644,7146.86561644351,0.9481777799516622,0.0,0.0,0.0,0.0,0.0,0.0,24.52350366244281,12.389977708054541,69.29439026767771,28.484920505604048,11.907436780489377,59.4530199656255,4.6857066241824885,7.192158251764156,43.55052555882325,255.06083217789768,209764153.9484463,408869834.03822756,521348237.2816154,819214007.1364188,134.76777962328876,2.066965774318417,3819.6491808931787,3213.570196150333,8249.004145733277,0.0,10086.618713725587,2779.964221546994,0.0,3260.741281058155,4357.189978798129,0.6502213896877509,37.40595163739455,134072.97150634055,9762.779391721519,124575.41490100865,355.486454570813,0.56897521618413,14702868.486005355,9858.56704562221,53.0622995307012,174.32629772235472,0.16928958713379266,0.12489294635455743,0.6944717347150453,0.6543420205473713,5.5727410041572165,7.394513345713143
depth_dataset/open_area/image_0186.jpg,open_area_depth_0186.jpg,open_area,83.0105256591195,123.16284232784989,966.0155166045115,0.09999672908566559,1840.820034421082,21.536200867970425,178.7229537240915,47.24683920019875,20.656635258941844,13.366001118066587,13.238941176994613,359.6804574011445,892919955.1858457,298492310.991516,3392.979708027704,5459290318.679171,616817663.3381327,1666.3684239276654,1745221041.682397,414852700.95105565,1572.9094942383924,1879469406.7090073,418016619.31597733,1789.331809009687,2514303680.7559366,435468205.8556058,1847.282832046375,3354890053.114105,475552303.36970025,1108.5356542147968,3064.3457679275384,1.0197348217990156,0.0,0.0,0.0,0.0,0.0,0.0,22.290413488115377,19.691107651033413,93.75056760434104,28.26155182416733,19.40138478522463,84.77967854382347,2.911501953319675,14.856767076272849,45.998484334385026,255.54350247032778,469427821.2732594,705180839.9923289,986705150.0072738,999821931.4361584,139.6159306834112,1.6451273403896072,1788.7471622197345,1590.144200557948,5376.976986425396,241.9738658322604,4254.732357985267,458.11871332877826,174.1252624348261,3144.716161884488,1654.5419502808743,2.621100447804818,52.91955622414773,232547.62763347256,9153.892770808514,231990.08930957632,179.26424674380797,0.580681198612259,0.0,6774.828731302197,44.39944546053579,182.0097327596172,0.2879092593500056,0.20890841576298363,0.520946754441324,0.5273068692365914,3.0674543687345306,16.27376593176853
depth_dataset/open_area/image_0187.jpg,open_area_depth_0187.jpg,open_area,50.75716858495038,60.5369458204449,604.0727800232887,0.09999254791488299,385.32171284205964,14.498031602725046,26.328106732208482,17.2775453279769,6.786895865851641,3.984643558831439,12.38376516999317,366.24932148354424,57489510.53531635,107737263.1023109,1577.2348835466805,406452043.19220436,117132384.60209191,443.3261860161596,423779368.7457032,139147662.98733526,842.8736113394174,839935815.4429762,137927568.28708532,947.8916427471678,181311934.5602841,104207161.1771323,287.27307296403336,52232796.6967528,72823472.0682339,340.9452701207867,893.7352037360404,1.033140276264976,0.0,0.0,0.0,0.0,0.0,0.0,14.82105515867463,9.032356522879441,72.42972678782878,17.796725698590883,10.237998508330316,71.77190407590511,0.0,7.510966278333959,30.561110297749103,218.9212831201927,137284332.7502717,170701363.65618217,228715348.5099372,216341967.50695252,104.23019788911309,1.5735088221214382,777.067082316561,337.9616644912196,4194.734493384281,46.82080719070401,3640.6168281652567,231.9003973192707,0.0,1381.4115603294272,662.4728787963026,2.2834636660132794,54.78589667891905,61402.52696695604,5495.922618375633,25534.606460469608,511.0686615617603,0.3239280532151313,133659677.63208985,2356.520213180935,28.026110914710788,171.18769820657084,0.3265370480257093,0.34093443480744706,0.33591402414222205,0.31278570917979603,0.0,6.787977082487401
depth_dataset/open_area/image_0188.jpg,open_area_depth_0188.jpg,open_area,117.51193570895857,116.72302405816437,922.7219337019845,0.09998958439938481,8695.781526942248,59.921266117225635,331.0618888619415,62.36010519816734,24.558968095410112,12.953275123513048,24.35682968616143,6486.223867661337,1978397612.0417504,270347026.0984315,11879.860431475263,3401764140.840248,296844644.4113198,6536.207913002502,1202293879.4837928,171761713.5846425,6585.784792615994,1719528980.304855,254626838.2534122,6942.638213101599,1762546438.7767823,246967619.18684712,12519.110859018918,3401064894.4559007,335798457.8150703,2669.994776060426,5397.332241536876,0.7331044934687405,0.0,0.0,0.0,0.0,0.0,0.0,27.05650575825501,16.676404056958823,83.54763176029063,0.0,0.0,0.0,0.0,19.93212701731409,65.28891885479068,253.2228865147698,240261272.17562985,385749010.52134985,776117154.7477418,994096778.8608555,155.99996626300023,2.8336431086958225,7985.665540216063,4137.365680072015,17133.087224379484,46.22277367774378,17624.373342636165,614.180739377279,1944.2530015994332,9874.926326653487,7552.881123700498,1.1653644505452905,6.62668965587861,195110.31063096397,106198.6617319979,191980.46386127532,1322.535733939949,0.8014034958929924,19159791.205066152,14779.09120433174,56.62629481735384,177.51457687817776,0.23289360561953493,0.11926969633211056,0.6281198044096051,0.63487546882763,0.0,18.997297291817098
depth_dataset/open_area/image_0189.jpg,open_area_depth_0189.jpg,open_area,50.87259080426044,62.25660672218736,635.059682333079,0.0999935275704556,488.12093031739636,15.769494142227332,44.593697792020706,15.82410592272042,5.177968095809111,3.464671629436944,11.610505317791896,110.10502862752575,471099748.7532327,112880887.30190805,1495.449550802185,769570013.838454,102401166.17720415,18.40371855107935,591890956.4835783,113194832.5627867,1022.8717404385897,782333889.0374628,149662205.33447784,462.974775704287,384719802.3594761,128786123.3957761,0.0,151820935.4742032,40936133.86814843,423.46171435360276,411.53760292404036,1.0399197107654587,0.0,0.0,0.0,0.0,0.0,0.0,14.21753932166288,9.208546071357992,70.15766479436019,16.971893009110577,10.520696252338851,68.56294318403509,0.0,6.085626120374352,31.859525674996476,220.01028457001226,140081531.564299,175593458.20997941,121842462.1729411,277033799.1984664,106.87040892689846,1.6125722500058801,553.5563562645484,863.3250007750764,1986.0086252244964,0.0,2028.632789846531,253.7539163311686,0.0,773.642018669654,370.7411257272547,2.1051575425497524,48.94927842866482,42088.5705934046,0.0,50970.32472859762,307.12115482324884,0.33578080788754505,104767107.85350047,321.885291672281,26.69248701318679,176.18269415242185,0.3151548570472581,0.3617591806144733,0.3121367021135463,0.3169996328947766,0.0,6.691614513325105
depth_dataset/open_area/image_0190.jpg,open_area_depth_0190.jpg,open_area,27.875201194990623,35.495555861272784,663.7250717621185,0.09986870176724004,296.1511985035432,7.964545367192027,26.457596555674613,8.385068932245424,2.750845363630299,2.963202541116729,7.073489186638919,277.86360510273505,0.0,216001804.4857118,369.52810557452216,640888066.7936873,348418840.76528263,0.0,14554450.777490139,197959158.98063573,102.03120461019421,352587418.57811224,299686297.347669,217.274163687432,156941846.021183,287342310.53160197,457.88326041384914,371731794.45389485,253291254.74251965,111.69391051720547,370.3875063453102,1.0451469995715703,0.0,0.0,0.0,6.24257313901987,5.98046028377624,54.64443020410136,8.569260923187748,8.075384145162927,58.80906829951532,13.188816867745691,10.280470250826403,60.81412777679558,0.0,10.99196022211282,53.75262291188041,240.2799433224014,456255925.04184985,406950341.37394905,491862440.76025003,661475622.6338822,164.73525265814777,1.2380725464835016,830.8278178009805,166.23395672909902,0.0,0.0,168.05788520854543,138.24317478464903,0.0,0.0,0.0,1.0172625437886658,130.80963257446814,62239.53867036443,0.0,31870.18661380522,235.74279367287824,0.08543019091764334,674596.5663882894,509.52747975747906,14.36065510290731,95.41975985402163,0.6930873255447634,0.6706458794828541,0.0,0.0,0.0,11.508601738779907
depth_dataset/open_area/image_0191.jpg,open_area_depth_0191.jpg,open_area,67.67241852780037,85.69790663505508,837.2149035861884,0.09997205247259194,4250.249190254657,34.45021520268782,133.02208843618075,26.921953783409304,11.588164021182477,6.478141306737247,18.93103961703496,0.0,27321982.455633372,193118923.08491576,8236.868529940675,3010988287.592869,621879921.7893428,3984.2756354488893,951809739.5617201,350702264.7038974,2928.6047296571423,1083179771.727942,405932909.21725655,3392.6316883024,1522111771.6717427,428414256.6658339,5596.4491056564675,1875032816.2878692,446088448.5141178,2589.0552434578995,8728.611438359476,0.8285812466121463,0.0,0.0,0.0,14.20826489515373,13.462080807812882,82.71091316017167,17.672110480049767,14.402355004528268,82.98963556108112,20.588506175354638,15.678389136516682,81.9492418401811,4.523763931059992,13.266108447528804,55.821545144888205,254.24206113301273,442402575.6733524,535469468.88571525,878861258.0212646,1571628539.2461393,201.6757138519881,2.2449088514504343,4018.6815231681403,3620.7716296073077,10454.080200971968,82.48016670577286,9849.382024526047,737.872581506289,1156.3059329648472,5246.939934559865,3455.4844737072613,1.5041467111744724,99.23740140022679,184844.13335171386,0.0,173378.1318568062,204.1670997123652,0.4536814002058835,24578475.980296016,12404.580323543014,53.96139555082413,185.00954423945024,0.20963189442368563,0.10309329154885156,0.6261006823346973,0.6435307825340689,4.895018049729775,13.799670483479959
depth_dataset/open_area/image_0192.jpg,open_area_depth_0192.jpg,open_area,96.84334698159837,92.42095643716499,734.1232329971472,0.10000355369686083,3235.4256076179904,34.99159676807831,184.72266213456106,38.27937511283977,18.059816358416384,8.825619768363891,20.877598184117915,556.5561126141134,302082601.5568467,125288466.58316296,2757.7231619705803,1128144351.1319396,250919136.69030717,7462.987612936278,2668178399.725471,351884647.7997353,3634.221910174618,1876807793.87761,240390172.6301713,3118.825703249187,1190672299.186994,235924609.3874119,3236.2262662990533,1360365341.2365165,228441168.11874402,1976.5224603180932,6954.523696839024,0.9641474732458094,0.0,0.0,0.0,0.0,0.0,0.0,23.337026812511386,13.222121659505627,69.4977409768456,28.294755302712836,12.166839941492102,60.23281859138118,4.872626427601279,7.417105395112934,46.90304613819949,254.9126784117566,233538719.55535358,321774230.5740594,538419089.7175299,784580611.9409403,146.42352938379986,2.1258462828991593,3696.8480287178904,3243.90069609209,8595.03749366838,30.22308017842115,9358.787975754029,2391.88973992105,0.0,3030.9458946099085,3842.4240282599562,0.5291161191351704,34.05310164477632,140131.69111668426,9378.280452766814,131207.39940668808,393.79247134158294,0.5437034212456074,4138873.2262268863,10402.337811701991,52.702222466409204,182.5400116333793,0.19087911807832447,0.12948721757218165,0.6531839224705114,0.6615328657998257,4.611844858908097,7.489269735666298
depth_dataset/open_area/image_0193.jpg,open_area_depth_0193.jpg,open_area,62.77811896304297,94.71698326732493,813.4562880446024,0.09996361396710832,2208.3641365778235,27.31217630192447,119.81158647831558,26.048948387036255,10.894455192053838,6.380753289965909,16.737109234045835,289.1514317065406,69792790.72687893,16986089.940776546,3539.7951606752567,220711409.4866649,19961341.902890783,2516.1107207104915,38014047.3573291,0.0,1911.5071785841283,110324636.44960967,7998212.544157501,2300.371303392305,101379603.2373104,8073536.852157846,3028.135708554577,153970047.93998957,0.0,987.9215831089186,3561.7494223922904,0.9894591642778576,0.0,0.0,0.0,0.0,0.0,0.0,18.114692118415174,15.657481456472356,86.95049476531315,22.82857562242424,16.978451245778952,81.33555004117048,0.0,10.511611936958442,59.814287033013365,251.2032122083608,20530377.275619797,53552966.15041916,0.0,1121711.974495478,59.49882305543325,1.529504438472543,1984.5931426667612,1412.9073864656268,4349.349100803021,158.4684557541736,2678.177058297888,1167.5782166226713,93.73103281710425,2565.011764414217,2129.008319199029,1.0878956610416164,18.081071045805945,36333.12569741563,0.0,1916.325531682146,115.73880839565479,0.32638972351964735,13661878.942553222,471.0044845524915,5.4576870862178986,26.289691170093526,0.9578774231132733,0.939661534484069,0.0,0.0,0.0,10.660695976046167
depth_dataset/open_area/image_0194.jpg,open_area_depth_0194.jpg,open_area,151.2772845631862,155.35943359880295,976.9855094696333,0.10000159047743588,12271.281964086338,70.98444731571739,501.7551781843058,124.23866390238828,50.48682351986806,25.33348533395994,19.68903624111337,7347.581818832633,3521129480.9149995,546606763.3388649,15545.026751751271,7521905389.095058,776957352.2682413,14157.291826588935,8658909755.247072,901597258.39811,17092.858879014748,9009863238.14466,865933036.8993785,9090.82626564438,5023577804.250835,689856889.941658,10185.156408540146,5359441823.214024,661744198.3256255,3632.618658093379,9284.303062918263,0.7835374259814858,0.0,0.0,0.0,0.0,0.0,0.0,35.7064252255647,21.10061775025956,82.18101878613258,40.99140033492705,21.12453204768262,74.46486179477881,3.7697141645934313,7.025470840587857,68.48623587425969,255.50300192413113,588169363.1852648,1070729596.086541,1736958095.77273,2649692090.438294,194.3973726917188,2.6537110297518587,12211.316534702271,6578.57540036533,20837.61343069115,0.0,20211.43627804051,2273.8351376384094,0.0,14351.559586024692,11301.83148817149,1.3373709032719538,70.3386345261854,278839.58489373274,369.8327130406824,288903.41007272893,265.37638630573366,0.6715728634171553,1349796.2567963947,20072.680958174416,53.643123080357434,179.84078197131552,0.24309701007919501,0.10387565888377955,0.5583922363138961,0.6890393747904046,3.294186934625634,5.65210994701997
